facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
ANR Pipeline Meade CS,KS,Petroleum and Natural Gas Systems,6275.282,37.078655,-100.47068,2021
ANHEUSER BUSCH INC. - L.A. BREWERY,CA,Other,31267.998,34.22132,-118.48044,2021
ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,CO,Other,43710.734,40.619722,-105.006111,2021
ANHEUSER BUSCH LLC,VA,Other,36805.012,37.237518,-76.652662,2021
ANHEUSER-BUSCH HOUSTON BREWERY,TX,Other,44256.038,29.774444,-95.270833,2021
ANHEUSER-BUSCH LLC,FL,Other,56286.14,30.432822,-81.647706,2021
ANHEUSER-BUSCH LLC,NH,"Other,Suppliers of CO2",15747.556,42.822084,-71.488321,2021
"ANHEUSER-BUSCH, INC. CARTERSVI LLE BREWERY",GA,Other,21226.658,34.2557,-84.7825,2021
"ANHEUSER-BUSCH, INC. NEWARK BREWERY",NJ,Other,24308.976,40.6916,-74.1916,2021
ANN ARBOR SLF PHASE I & II,MI,Waste,31016.25,42.22703,-83.69976,2021
ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,CA,Waste,51915.25,34.5697,-118.1534,2021
APACHE JUNCTION LANDFILL,AZ,Waste,27743.75,33.377246,-111.528771,2021
APACHE NITROGEN PRODUCTS - PLANT,AZ,Chemicals,360042.22,31.88,-110.24,2021
"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",OH,Waste,573401.45,40.432403,-80.911512,2021
APEX REGIONAL LANDFILL,NV,Waste,98533.256,36.29423,-115.28183,2021
"APG Polytech, LLC",WV,Other,44964.58,38.663697,-82.16883,2021
APPLETON ROARING SPRING PAPER MFG,PA,Pulp and Paper,24114.178,40.33869,-78.40555,2021
APPVION - APPLETON PLT,WI,Pulp and Paper,29172.54,44.2729,-88.39311,2021
APS Saguaro Power Plant,AZ,Power Plants,63757.712,32.5517,-111.3,2021
APS West Phoenix Power Plant,AZ,Power Plants,1287564.808,33.4417,-112.1583,2021
AR GLASS CONTAINER CORP,AR,Minerals,37521.88,35.846639,-90.708361,2021
ARBOR HILLS LANDFILL,MI,Waste,213862.45,42.406821,-83.556249,2021
ARCELORMITTAL TUBULAR PRODUCTS USA LLC,OH,Metals,58550.68,40.88135,-82.66758,2021
ARCHER DANIEL MIDLAND COMPANY,NE,"Other,Waste",1092684.268,41.42139,-97.288612,2021
ARCHER DANIELS MIDLAND,MN,"Other,Suppliers of CO2,Waste",173696.904,44.47056,-95.78417,2021
ARCHER DANIELS MIDLAND,IN,Other,47169.372,40.2853,-86.5479,2021
ARCHER DANIELS MIDLAND COMPANY,NE,Other,147112.274,40.86667,-96.619116,2021
ARCHER DANIELS MIDLAND PROCESSING,ND,Other,42600.138,48.062103,-100.924722,2021
ARCONIC LAFAYETTE LLC,IN,Metals,35550.516,40.395778,-86.859639,2021
ARCONIC TENNESSEE OPERATIONS,TN,Metals,203786.132,35.811815,-83.969576,2021
ARDEN LDFL,PA,Waste,21432.254,40.208427,-80.264771,2021
ARGOS CEMENT LLC. - ROBERTA PLANT,AL,Minerals,908192.74,33.1043,-86.7985,2021
ARGOS USA -Martinsburg,WV,Minerals,900616.712,39.434879,-77.977911,2021
ARIZONA STATE UNIVERSITY,AZ,Other,59497.476,33.42195,-111.935,2021
ARKALON ETHANOL LLC,KS,"Other,Suppliers of CO2",103611.36,37.107705,-100.796294,2021
ARKANSAS LIME COMPANY,AR,Minerals,427193.956,35.794,-91.736,2021
ARKANSAS STEEL ASSOCIATES,AR,Metals,52644.944,35.648518,-91.244662,2021
AVINGER GAS PLANT,TX,Petroleum and Natural Gas Systems,39340.27,32.872582,-94.584072,2021
ANR Pipeline New Windsor CS,IL,Petroleum and Natural Gas Systems,3447.192,41.21009,-90.43646,2021
ANR Pipeline Patterson CS,LA,Petroleum and Natural Gas Systems,31843.246,29.691875,-91.342885,2021
ANR Pipeline Sandwich CS,IL,Petroleum and Natural Gas Systems,9274.874,41.6227,-88.58362,2021
ANR Pipeline Sardis CS,MS,Petroleum and Natural Gas Systems,11993.572,34.422978,-90.117504,2021
ANR Pipeline St. John CS,IN,Petroleum and Natural Gas Systems,8282.132,41.431667,-87.488972,2021
ANR Pipeline Woodstock CS,IL,Petroleum and Natural Gas Systems,39005.512,42.298042,-88.495281,2021
ANR Pipeline Woolfolk CS,MI,Petroleum and Natural Gas Systems,33879.86,43.6249,-85.3844,2021
ARKEMA BEAUMONT PLANT,TX,Chemicals,67258.296,30.060226,-94.058976,2021
ARKEMA INC CLEAR LAKE,TX,Chemicals,88084.268,29.62139,-95.06389,2021
